,Time,Borough,Passenger Count
953,11:20,Brooklyn,2957
954,11:20,Bronx,1228
955,11:20,Queens,1362
956,11:20,Manhattan,302
957,11:20,Staten Island,406
958,11:20,Other,82
959,11:25,Total,6552
960,11:25,Brooklyn,2936
961,11:25,Bronx,1321
962,11:25,Queens,1502
963,11:25,Manhattan,310
964,11:25,Staten Island,399
965,11:25,Other,84
966,11:29,Total,6699
967,11:29,Brooklyn,3030
968,11:29,Bronx,1340
969,11:29,Queens,1536
970,11:29,Manhattan,325
971,11:29,Staten Island,384
972,11:29,Other,84
973,11:34,Total,6778
974,11:34,Brooklyn,3164
975,11:34,Bronx,1438
976,11:34,Queens,1427
977,11:34,Manhattan,289
978,11:34,Staten Island,379
979,11:34,Other,81
980,11:39,Total,6893
981,11:39,Brooklyn,3186
982,11:39,Bronx,1393
983,11:39,Queens,1520
984,11:39,Manhattan,304
985,11:39,Staten Island,412
986,11:39,Other,78
987,11:44,Total,6776
988,11:44,Brooklyn,3164
989,11:44,Bronx,1400
990,11:44,Queens,1488
991,11:44,Manhattan,297
992,11:44,Staten Island,346
993,11:44,Other,81
994,11:50,Total,6813
995,11:50,Brooklyn,3172
996,11:50,Bronx,1429
997,11:50,Queens,1518
998,11:50,Manhattan,271
999,11:50,Staten Island,323
1000,11:50,Other,100
1001,11:55,Total,6707
1002,11:55,Brooklyn,3140
1003,11:55,Bronx,1321
1004,11:55,Queens,1537
1005,11:55,Manhattan,291
1006,11:55,Staten Island,337
1007,11:55,Other,81
1008,11:59,Total,6656
1009,11:59,Brooklyn,3133
1010,11:59,Bronx,1334
1011,11:59,Queens,1469
1012,11:59,Manhattan,248
1013,11:59,Staten Island,371
1014,11:59,Other,101
1015,12:5,Total,6877
1016,12:5,Brooklyn,3260
1017,12:5,Bronx,1361
1018,12:5,Queens,1480
1019,12:5,Manhattan,305
1020,12:5,Staten Island,359
1021,12:5,Other,112
1022,12:9,Total,7093
1023,12:9,Brooklyn,3325
1024,12:9,Bronx,1481
1025,12:9,Queens,1507
1026,12:9,Manhattan,325
1027,12:9,Staten Island,361
1028,12:9,Other,94
1029,12:15,Total,7445
1030,12:15,Brooklyn,3440
1031,12:15,Bronx,1559
1032,12:15,Queens,1591
1033,12:15,Manhattan,356
1034,12:15,Staten Island,373
1035,12:15,Other,126
1036,12:20,Total,7329
1037,12:20,Brooklyn,3351
1038,12:20,Bronx,1494
1039,12:20,Queens,1585
1040,12:20,Manhattan,374
1041,12:20,Staten Island,413
1042,12:20,Other,112
1043,12:25,Total,7558
1044,12:25,Brooklyn,3464
1045,12:25,Bronx,1517
1046,12:25,Queens,1620
1047,12:25,Manhattan,372
1048,12:25,Staten Island,426
1049,12:25,Other,159
1050,12:29,Total,7461
1051,12:29,Brooklyn,3466
